#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
384.00000000110543,4689.2880859375,302.96487903866307
386.000000001115,4575.0633544921875,261.4191504245983
388.00000000112453,4612.43310546875,295.88312894006447
390.0000000011341,4668.663024902344,280.83094610560056
392.00000000114363,4655.743591308594,293.38202040798694
394.0000000011532,4737.161315917969,307.40170477458724
396.00000000116273,4569.760803222656,288.19318450416324
398.0000000011723,4649.845520019531,269.24104137789044
400.00000000118183,4627.647644042969,318.4293564984207
402.0000000011914,4679.1588134765625,270.55260262427913
404.00000000120093,4572.294189453125,312.61999712446334
406.0000000012105,4617.445007324219,273.0328929138071
408.00000000122003,4645.88671875,303.6000618969685
410.0000000012296,4672.892028808594,285.1448295223905
412.00000000123913,4698.9599609375,269.56994486290995
414.0000000012487,4650.8590087890625,313.14276669354734
416.00000000125823,4788.8992919921875,292.8747877274529
418.0000000012678,4706.3834228515625,318.1867860865821
420.00000000127733,4635.4556884765625,315.4501943163628
422.0000000012869,4605.74072265625,293.42332122345607
424.0000000012964,4628.001647949219,293.871461293685
426.000000001306,4625.206787109375,284.00892957329074
428.0000000013155,4641.792297363281,303.25077108272376
430.0000000013251,4622.494140625,282.683858595953
432.0000000013346,4664.1282958984375,288.5247569676757
434.0000000013442,4664.59521484375,284.7826918103332
436.0000000013537,4600.705749511719,288.51942607235793
438.0000000013633,4624.491882324219,290.81221772380763
440.0000000013728,4624.737609863281,317.9832578667757
442.0000000013824,4676.658874511719,302.10879829673723
444.0000000013919,4636.289794921875,305.2612063620137
446.0000000014015,4669.789123535156,300.2817799227801
448.000000001411,4676.9696044921875,294.1299902521545
450.0000000014206,4758.328796386719,320.44868118048606
452.0000000014301,4707.881530761719,282.8273269618405
454.0000000014397,4601.021728515625,299.5624724186735
456.0000000014492,4686.498596191406,314.65005148346967
458.0000000014588,4651.658386230469,298.9095006867433
460.0000000014683,4636.940856933594,336.587156068725
462.0000000014779,4655.0234375,304.49799417587025
464.0000000014874,4656.7554931640625,299.1736163855011
466.00000000149697,4592.038330078125,307.11611660524096
468.0000000015065,4638.383483886719,308.09025413760605
470.00000000151607,4744.927490234375,270.1336852403837
472.0000000015256,4738.62646484375,321.158874136975
474.00000000153517,4572.91162109375,282.43815738266426
476.0000000015447,4589.737060546875,289.0025340050608
478.00000000155427,4695.7664794921875,303.69697493457124
480.0000000015638,4711.4404296875,290.0655448837874
482.00000000157337,4717.1905517578125,315.81024978503746
484.0000000015829,4620.7664794921875,277.84575082763354
486.00000000159247,4642.732971191406,302.2488309543464
488.000000001602,4702.5570068359375,331.31001846324415
490.00000000161157,4686.725402832031,313.2430083144233
492.0000000016211,4674.44873046875,294.4931378463082
494.00000000163067,4643.019104003906,277.4461617263311
496.0000000016402,4604.3311767578125,302.69462571453647
498.00000000164977,4632.418762207031,283.3351208841534
500.0000000016593,4663.3487548828125,294.90783550415796
